Family;Cost;Gamma;AUC Train;AUC Test
SCOP40_a.118.1._a.118.1.14._train_LaSVM.csv;256;0.000244140625;0.973178427997705;0.910660660660661
SCOP40_a.3.1._a.3.1.1._train_LaSVM.csv;8192;0.000244140625;0.934190620272315;0.870828512948296
SCOP40_a.39.1._a.39.1.2._train_LaSVM.csv;512;6.103515625e-05;0.869383825417201;0.811263318112633
SCOP40_a.39.1._a.39.1.5._train_LaSVM.csv;1024;3.0517578125e-05;0.758582979851538;0.896390519678191
SCOP40_a.4.1._a.4.1.1._train_LaSVM.csv;16;0.0009765625;0.881547899952808;0.945336391437309
SCOP40_a.4.1._a.4.1.3._train_LaSVM.csv;0.25;0.00390625;0.760102694051747;0.897706422018349
SCOP40_a.4.1._a.4.1.9._train_LaSVM.csv;8192;0.00048828125;0.97735904177622;0.860601427115189
SCOP40_a.4.5._a.4.5.28._train_LaSVM.csv;64;0.000244140625;0.773850733868734;0.92294762915782
SCOP40_b.1.1._b.1.1.2._train_LaSVM.csv;4;0.0009765625;0.916178861788618;0.979740680713128
SCOP40_b.1.1._b.1.1.3._train_LaSVM.csv;32;0.00390625;1;0.916430307941653
SCOP40_b.1.1._b.1.1.4._train_LaSVM.csv;32768;0.0001220703125;0.942276422764228;0.860678219673358
SCOP40_b.1.18._b.1.18.2._train_LaSVM.csv;4096;0.0009765625;0.994631901840491;0.723200612557427
SCOP40_b.29.1._b.29.1.11._train_LaSVM.csv;32;0.0001220703125;0.740363416542209;0.994656488549618
SCOP40_b.29.1._b.29.1.2._train_LaSVM.csv;4;0.0009765625;0.779069767441861;0.997709923664122
SCOP40_b.29.1._b.29.1.3._train_LaSVM.csv;4096;0.0001220703125;0.80045871559633;0.694529262086514
SCOP40_b.29.1._b.29.1.4._train_LaSVM.csv;8192;0.0001220703125;0.891437308868501;0.807960741548528
SCOP40_b.40.4._b.40.4.3._train_LaSVM.csv;32768;0.0001220703125;0.810747663551402;0.730124223602485
SCOP40_b.40.4._b.40.4.4._train_LaSVM.csv;32768;0.00048828125;0.889408099688473;0.892857142857143
SCOP40_b.40.4._b.40.4.5._train_LaSVM.csv;8192;0.00048828125;0.987538940809969;0.815993788819876
SCOP40_b.40.4._b.40.4.6._train_LaSVM.csv;8192;0.0009765625;0.993769470404984;0.730900621118012
SCOP40_b.47.1._b.47.1.1._train_LaSVM.csv;8192;6.103515625e-05;0.953114478114478;0.731060606060606
SCOP40_b.6.1._b.6.1.1._train_LaSVM.csv;8192;6.103515625e-05;0.703506097560976;0.732876712328767
SCOP40_b.6.1._b.6.1.3._train_LaSVM.csv;128;0.00048828125;0.942157859078591;0.643952698747219
SCOP40_c.1.8._c.1.8.3._train_LaSVM.csv;4096;6.103515625e-05;0.956004370035728;0.92671875
SCOP40_c.1.8._c.1.8.5._train_LaSVM.csv;8192;0.0001220703125;0.989177801853858;0.838341346153846
SCOP40_c.10.2._c.10.2.5._train_LaSVM.csv;0.03125;3.0517578125e-05;0.5;0.5
SCOP40_c.2.1._c.2.1.2._train_LaSVM.csv;4096;0.0001220703125;0.96082749308815;0.731284192340916
SCOP40_c.2.1._c.2.1.3._train_LaSVM.csv;2048;0.0001220703125;0.891663106173894;0.756523178807947
SCOP40_c.2.1._c.2.1.4._train_LaSVM.csv;128;0.000244140625;0.889758751182592;0.908848417954378
SCOP40_c.2.1._c.2.1.5._train_LaSVM.csv;0.5;0.000244140625;0.818225213902451;0.858167770419426
SCOP40_c.2.1._c.2.1.6._train_LaSVM.csv;2;0.0009765625;0.840404764258179;0.785099337748344
SCOP40_c.2.1._c.2.1.7._train_LaSVM.csv;1024;6.103515625e-05;0.872467134526045;0.895695364238411
SCOP40_c.23.16._c.23.16.2._train_LaSVM.csv;16384;0.0001220703125;0.964252248875562;0.689536621823617
SCOP40_c.26.2._c.26.2.1._train_LaSVM.csv;512;6.103515625e-05;0.954545454545455;0.559514925373134
SCOP40_c.3.1._c.3.1.4._train_LaSVM.csv;4096;0.00048828125;0.982503770739065;0.961597542242704
SCOP40_c.3.1._c.3.1.5._train_LaSVM.csv;8192;6.103515625e-05;0.694615384615385;0.535330261136713
SCOP40_c.37.1._c.37.1.10._train_LaSVM.csv;4096;3.0517578125e-05;0.837239801913715;0.78856981981982
SCOP40_c.37.1._c.37.1.11._train_LaSVM.csv;4;0.000244140625;0.827564592894782;0.891409266409266
SCOP40_c.37.1._c.37.1.12._train_LaSVM.csv;1;0.000244140625;0.802173635900051;0.88465250965251
SCOP40_c.37.1._c.37.1.19._train_LaSVM.csv;1024;6.103515625e-05;0.917207933740192;0.839057807807808
SCOP40_c.37.1._c.37.1.20._train_LaSVM.csv;16;3.0517578125e-05;0.695162878109898;0.85764742014742
SCOP40_c.37.1._c.37.1.5._train_LaSVM.csv;0.5;0.000244140625;0.804298274177792;0.806467181467182
SCOP40_c.37.1._c.37.1.6._train_LaSVM.csv;1;0.00048828125;0.836872586872587;0.954391891891892
SCOP40_c.37.1._c.37.1.8._train_LaSVM.csv;4096;0.0001220703125;0.872180719451846;0.841134481255449
SCOP40_c.37.1._c.37.1.9._train_LaSVM.csv;4;0.000244140625;0.851168186258548;0.808156370656371
SCOP40_c.47.1._c.47.1.1._train_LaSVM.csv;1024;0.0001220703125;0.871000820344545;0.828027950310559
SCOP40_c.47.1._c.47.1.10._train_LaSVM.csv;32768;0.000244140625;0.705745341614907;0.672360248447205
SCOP40_c.47.1._c.47.1.2._train_LaSVM.csv;8192;0.000244140625;0.816770186335404;0.823757763975155
SCOP40_c.47.1._c.47.1.5._train_LaSVM.csv;16384;0.000244140625;0.730590062111801;0.700116459627329
SCOP40_c.55.1._c.55.1.1._train_LaSVM.csv;1024;0.000244140625;0.987933634992459;0.73131161007667
SCOP40_c.67.1._c.67.1.3._train_LaSVM.csv;64;0.000244140625;1;0.963406488549618
SCOP40_c.67.1._c.67.1.4._train_LaSVM.csv;512;0.000244140625;0.997706422018349;0.995419847328244
SCOP40_c.68.1._c.68.1.13._train_LaSVM.csv;4096;6.103515625e-05;0.741017964071856;0.741405082212257
SCOP40_d.81.1._d.81.1.3._train_LaSVM.csv;32768;3.0517578125e-05;0.528485757121439;0.524737631184408
SCOP40_e.8.1._e.8.1.1._train_LaSVM.csv;256;3.0517578125e-05;0.866666666666667;0.796263079222721
